Description,Total_Sales_Dollars,ProfitMargin
.nparalleled Svgn Blanc,1094.63,29.978166138329854
10 Span Cab Svgn CC,2703.89,20.93761210700138
10 Span Chard CC,3325.56,27.806444628874534
10 Span Pnt Gris Monterey Cy,2082.22,32.22618167148524
10 Span Pnt Nr CC,2441.74,25.83608410395864
12 Days of Pearls Gift Set,309.69,97.67832348477509
13th Colony Sthrn Corn Whsky,359.82,42.446223111555774
14 Hands Moscato,798.15,28.512184426486243
14 Hands Red Blend Ltd,9570.42,45.94594594594595
14 Hands Rsl Wash,531.48,22.781666290359006
1792 Full Proof Bourbon,3576.21,24.50862784903571
1792 Port Finish Bourbon,6998.25,23.080770192548137
1792 Single Barrel Bourbon,2445.3900000000003,21.448521503727438
1792 Sweet Wheat Bourbon,3170.11,21.418815119980064
1800 Select Silver Tequila,2129.29,89.44577770054806
19 Crimes Warden Red,2823.87,23.088173322426318
2 Copas Spain White,119.88,33.33333333333333
2 Gingers Irish Whiskey,321.85999999999996,40.88734232274901
20 Mile 09 Brdx Superior,1949.48,83.76900506801813
24 Knots Pnt Nr,9393.62,47.9896993917148
3 Blind Moose Cab Svgn Cal,6344.47,55.080250990232436
3 Blind Moose Chard Cal,6058.7300000000005,50.892678828731434
3 Blind Moose Merlot Cal,6951.85,56.1424656746046
3 Blind Moose Pnt Grigio Cal,7285.51,56.373678712952156
4 Orange Vodka,483.78,85.90268303774444
44* North Huckleberry Vodka,1057.03,12.87664493912187
44* North Magic Valley Vodka,1349.4,53.846153846153854
900 Grapes Svgn Bl,59.94,32.43243243243243
A Bichot Adelie Mercury,815.76,72.03834461116014
A Bichot Ch Gris Nuits St Ge,648.89,93.73083265268383
A Bichot Chablis Vaucopins,1623.44,96.33001527620362
A Bichot Chard Bourgogne,7452.2300000000005,19.433646036152947
A Bichot Clos Marechaudes,539.94,67.74086009556618
A Bichot Cremant Brut Rose,3402.27,15.983740267527265
A Bichot Merc Champs M,515.88,94.5529968209661
A Bichot Morgon Les Charmes,9209.119999999999,84.25701912886356
A Bichot Petit Chablis,8693.33,33.815350389321466
A Bichot St-Amour Champlette,6804.389999999999,76.68813809908016
A Innocenti Nonni Cab Svgn,623.52,17.72517321016166
A Proper Pink,4442.58,29.561200923787535
A by Acacia Red Cal,143.88,45.204336947456206
A to Z Rose,798.53,14.342604535834594
